CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,vri_name1,Total Incidents
04/11/2020,22:35:00,9S,100 N GILMOR ST,SHOOTING,Outside,FIREARM,532.0,WESTERN,CYLBURN,-76.642519796112,39.289812662777,,STREET,,1
04/10/2020,20:08:00,9S,3900 RIDGEWOOD AV,SHOOTING,Outside,FIREARM,623.0,NORTHWEST,DOLFIELD,-76.684810308797,39.335948345624,,STREET,,1
04/10/2020,16:05:00,9S,3600 S HANOVER ST,SHOOTING,Outside,FIREARM,912.0,SOUTHERN,BROOKLYN,-76.60961579586099,39.238499296838,,STREET,,1
04/10/2020,15:48:00,9S,1400 W LOMBARD ST,SHOOTING,Outside,FIREARM,933.0,SOUTHERN,UNION SQUARE,-76.63951359083201,39.286564917437,,STREET,Tri-District,1
04/09/2020,17:15:00,9S,2700 MAISEL ST,SHOOTING,Inside,FIREARM,921.0,SOUTHERN,WESTPORT,-76.636508205385,39.262201354101,,PUBLIC AREA,,1
04/09/2020,13:31:00,9S,3500 ELMORA AV,SHOOTING,Outside,FIREARM,421.0,NORTHEAST,MORGAN STATE UNIVERS,-76.57295469035999,39.315909342746004,,STREET,,1
04/08/2020,21:43:00,9S,2300 RUSKIN AV,SHOOTING,Outside,FIREARM,732.0,WESTERN,WOODBROOK,-76.64673079828,39.315864100162,,STREET,Western,1
04/08/2020,22:34:00,9S,1600 N CALHOUN ST,SHOOTING,Outside,FIREARM,734.0,WESTERN,SANDTOWN-WINCHESTER,-76.641866149407,39.306737701923,,ALLEY,Western,1
04/04/2020,16:20:00,9S,400 CAMBRIA ST,SHOOTING,Outside,FIREARM,913.0,SOUTHERN,BROOKLYN,-76.605583445716,39.23675247963,,STREET,Brooklyn,1
04/04/2020,16:20:00,9S,400 CAMBRIA ST,SHOOTING,Outside,FIREARM,913.0,SOUTHERN,BROOKLYN,-76.605583445716,39.23675247963,,STREET,Brooklyn,1
04/04/2020,16:20:00,9S,400 CAMBRIA ST,SHOOTING,Outside,FIREARM,913.0,SOUTHERN,BROOKLYN,-76.605583445716,39.23675247963,,STREET,Brooklyn,1
04/03/2020,20:57:00,9S,900 ARGONNE DR,SHOOTING,Outside,FIREARM,525.0,NORTHERN,EDNOR GARDENS-LAKESI,-76.602556027674,39.338049347794,,PUBLIC AREA,,1
04/03/2020,12:42:00,9S,3600 W COLD SPRING LA,SHOOTING,Outside,FIREARM,625.0,NORTHWEST,ASHBURTON,-76.675496848164,39.336072219740004,,PARKING LOT,,1
04/01/2020,16:25:00,9S,2000 E 30TH ST,SHOOTING,Outside,FIREARM,411.0,NORTHEAST,COLDSTREAM HOMESTEAD,-76.587545614677,39.325474885323,,ALLEY,,1
03/31/2020,15:20:00,9S,2400 ORLEANS ST,SHOOTING,Outside,FIREARM,221.0,SOUTHEAST,MCELDERRY PARK,-76.583438816736,39.295659464321,,STREET,,1
03/30/2020,18:05:00,9S,1800 N CHESTER ST,SHOOTING,Outside,FIREARM,331.0,EASTERN,BROADWAY EAST,-76.58865789183099,39.310963654244,,STREET,,1
03/30/2020,16:03:00,9S,1700 MADISON AV,SHOOTING,Outside,FIREARM,132.0,CENTRAL,MADISON PARK,-76.63101467319801,39.306280338651,,STREET,,1
03/30/2020,19:15:00,9S,700 N EDGEWOOD ST,SHOOTING,Outside,FIREARM,815.0,SOUTHWEST,EDMONDSON VILLAGE,-76.675324235556,39.295374900297,,STREET,,1
03/30/2020,01:35:00,9S,3100 MCELDERRY ST,SHOOTING,Outside,FIREARM,224.0,SOUTHEAST,ELLWOOD PARK/MONUMEN,-76.57367177521401,39.298142519499,,STREET,,1
03/28/2020,21:39:00,9S,1100 WASHINGTON BLVD,SHOOTING,Outside,FIREARM,932.0,SOUTHERN,WASHINGTON VILLAGE,-76.632626786256,39.282905598282,,STREET,,1
03/28/2020,21:39:00,9S,1100 WASHINGTON BLVD,SHOOTING,Outside,FIREARM,932.0,SOUTHERN,WASHINGTON VILLAGE,-76.632626786256,39.282905598282,,STREET,,1
03/28/2020,03:41:00,9S,2700 BARCLAY ST,SHOOTING,Outside,FIREARM,513.0,NORTHERN,HARWOOD,-76.61117588522299,39.3209235,,STREET,,1
03/28/2020,21:39:00,9S,1100 WASHINGTON BLVD,SHOOTING,Outside,FIREARM,932.0,SOUTHERN,WASHINGTON VILLAGE,-76.632626786256,39.282905598282,,STREET,,1
03/28/2020,02:55:00,9S,2200 FLEETWOOD AV,SHOOTING,Outside,FIREARM,423.0,NORTHEAST,HARFORD-ECHODALE-PER,-76.571361407979,39.367149618701,,STREET,,1
03/27/2020,20:41:00,9S,5100 PARK HEIGHTS AV,SHOOTING,Outside,FIREARM,614.0,NORTHWEST,CENTRAL PARK HEIGHTS,-76.67481030741101,39.348330071208,,STREET,Northwestern,1
03/27/2020,16:35:00,9S,1800 AIKEN ST,SHOOTING,Outside,FIREARM,314.0,EASTERN,OLIVER,-76.601011974982,39.310476209190995,,STREET,Eastern 1,1
03/26/2020,11:04:00,9S,5600 THE ALAMEDA,SHOOTING,Outside,FIREARM,533.0,NORTHERN,WOODBERRY,-76.594477775228,39.359537291125,,PARKING LOT,,1
03/26/2020,11:04:00,9S,5600 THE ALAMEDA,SHOOTING,Outside,FIREARM,533.0,NORTHERN,WOODBERRY,-76.594477775228,39.359537291125,,PARKING LOT,,1
03/24/2020,16:13:00,9S,1700 LAMONT AV,SHOOTING,Outside,FIREARM,314.0,EASTERN,OLIVER,-76.602576401366,39.30948797959,,PUBLIC AREA,Eastern 1,1
03/22/2020,15:18:00,9S,2400 CHRISTIAN ST,SHOOTING,Outside,FIREARM,834.0,SOUTHWEST,MILL HILL,-76.65393177652899,39.280392930164,,STREET,Tri-District,1
03/21/2020,13:05:00,9S,1300 N ELLAMONT ST,SHOOTING,Inside,FIREARM,813.0,SOUTHWEST,ROSEMONT,-76.670306599071,39.302089577741,,VEHICLE,,1
03/21/2020,15:10:00,9S,2600 JEFFERSON ST,SHOOTING,Outside,FIREARM,221.0,SOUTHEAST,MCELDERRY PARK,-76.58068212213,39.296867080524,,STREET,,1
03/21/2020,13:30:00,9S,200 N PACA ST,SHOOTING,Outside,FIREARM,123.0,CENTRAL,UPTON,-76.622389445197,39.29180357879,,STREET,,1
03/21/2020,02:20:00,9S,2400 LOYOLA SOUTHWAY,SHOOTING,Outside,FIREARM,533.0,NORTHERN,WOODBERRY,-76.657996767805,39.33864669863,,STREET,,1
03/20/2020,23:59:00,9S,1800 N CHAPEL ST,SHOOTING,Outside,FIREARM,331.0,EASTERN,BROADWAY EAST,-76.591052446638,39.310873038865,,STREET,,1
03/20/2020,20:11:00,9S,1700 N ELLAMONT ST,SHOOTING,Outside,FIREARM,832.0,SOUTHWEST,GWYNNS FALLS,-76.67086767852,39.307076434403,,STREET,,1
03/20/2020,23:59:00,9S,1800 N CHAPEL ST,SHOOTING,Outside,FIREARM,331.0,EASTERN,BROADWAY EAST,-76.591052446638,39.310873038865,,STREET,,1
03/20/2020,23:59:00,9S,1800 N CHAPEL ST,SHOOTING,Outside,FIREARM,331.0,EASTERN,BROADWAY EAST,-76.591052446638,39.310873038865,,STREET,,1
03/18/2020,12:52:00,9S,700 N COLLINGTON AV,SHOOTING,Outside,FIREARM,332.0,EASTERN,BEREA,-76.586725245201,39.298716965585,,STREET,Eastern 2,1
03/18/2020,15:48:00,9S,200 N BRUCE ST,SHOOTING,Outside,FIREARM,533.0,WESTERN,WOODBERRY,-76.64468120936999,39.290697475144,,STREET,,1
03/18/2020,12:52:00,9S,700 N COLLINGTON AV,SHOOTING,Outside,FIREARM,332.0,EASTERN,BEREA,-76.586725245201,39.298716965585,,STREET,Eastern 2,1
03/18/2020,18:54:00,9S,2600 PARK HEIGHTS TER,SHOOTING,Outside,FIREARM,614.0,NORTHWEST,CENTRAL PARK HEIGHTS,-76.661491227247,39.338678912607,,ALLEY,,1
03/17/2020,18:27:00,9S,300 MCMECHEN ST,SHOOTING,Outside,FIREARM,132.0,CENTRAL,BOLTON HILL,-76.62840905704701,39.306976634406,,STREET,,1
03/17/2020,18:27:00,9S,300 MCMECHEN ST,SHOOTING,Outside,FIREARM,132.0,CENTRAL,BOLTON HILL,-76.62840905704701,39.306976634406,,STREET,,1
03/17/2020,18:27:00,9S,300 MCMECHEN ST,SHOOTING,Outside,FIREARM,132.0,CENTRAL,BOLTON HILL,-76.62840905704701,39.306976634406,,STREET,,1
03/17/2020,18:27:00,9S,300 MCMECHEN ST,SHOOTING,Outside,FIREARM,132.0,CENTRAL,BOLTON HILL,-76.62840905704701,39.306976634406,,STREET,,1
03/17/2020,18:27:00,9S,300 MCMECHEN ST,SHOOTING,Outside,FIREARM,132.0,CENTRAL,BOLTON HILL,-76.62840905704701,39.306976634406,,STREET,,1
