CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,vri_name1,Total Incidents
05/26/2018,01:20:00,2A,1800 N FULTON AVE,RAPE,O,OTHER,734.0,WESTERN,SANDTOWN-WINCHESTER,-76.646495511037,39.308894615759996,,ALLEY,Western,1
05/25/2018,01:30:00,2B,3700 7TH ST,RAPE,O,OTHER,913.0,SOUTHERN,BROOKLYN,-76.601261950075,39.234747983358,,PARKING LOT-OUTSIDE,Brooklyn,1
05/25/2018,18:00:00,2A,3800 LEADENHALL ST,RAPE,I,OTHER,913.0,SOUTHERN,BROOKLYN,-76.613857100869,39.236420299165,,ROW/TOWNHOUSE-OCC,,1
05/25/2018,19:00:00,2A,1800 SPENCE ST,RAPE,,OTHER,831.0,SOUTHWEST,MORRELL PARK,-76.651155380073,39.26879084424,,,,1
05/25/2018,00:00:00,2A,5100 DARIEN RD,RAPE,,OTHER,441.0,NORTHEAST,CEDONIA,-76.53126791874601,39.325696769606,,,,1
05/22/2018,09:00:00,2A,0 N KRESSON ST,RAPE,,OTHER,232.0,SOUTHEAST,KRESSON,-76.559978389749,39.294054128614,,,,1
05/20/2018,12:00:00,2A,1400 W LAFAYETTE AVE,RAPE,O,OTHER,724.0,WESTERN,HARLEM PARK,-76.640196430017,39.298918395581005,,ALLEY,Central,1
05/20/2018,01:00:00,2A,600 CHERRYCREST RD,RAPE,,OTHER,922.0,SOUTHERN,CHERRY HILL,-76.621236366176,39.248760939892,,,,1
05/17/2018,11:30:00,2A,5100 PLAINFIELD AVE,RAPE,,OTHER,443.0,NORTHEAST,FRANKFORD,-76.550192797566,39.33255791302,,,,1
05/15/2018,02:30:00,2A,500 W PRESTON ST,RAPE,I,OTHER,313.0,CENTRAL,UPTON,-76.609105886238,39.304854611837,,SCHOOL,Central,1
05/15/2018,05:30:00,2A,400 W PRATT ST,RAPE,I,OTHER,113.0,CENTRAL,INNER HARBOR,-76.620795370609,39.286191091471,,HOTEL/MOTEL,,1
05/15/2018,14:00:00,2A,1500 N LUZERNE AVE,RAPE,,OTHER,332.0,EASTERN,BEREA,-76.58152988534701,39.3084225,,,,1
05/14/2018,14:45:00,2A,1400 W PATAPSCO AVE,RAPE,O,OTHER,922.0,SOUTHERN,CHERRY HILL,-76.638062380492,39.247745647244,,PARKING LOT-OUTSIDE,,1
05/13/2018,12:00:00,2A,6600 BUSHEY ST,RAPE,I,OTHER,234.0,SOUTHEAST,GRACELAND PARK,-76.534636061162,39.283253890849,,ROW/TOWNHOUSE-OCC,,1
05/11/2018,15:45:00,2A,500 E CHASE ST,RAPE,,OTHER,313.0,EASTERN,JOHNSTON SQUARE,-76.609466377609,39.302560657600004,,,,1
05/11/2018,13:00:00,2A,400 N CLINTON ST,RAPE,I,OTHER,224.0,SOUTHEAST,ELLWOOD PARK/MONUMEN,-76.570644715729,39.296264809866,,ROW/TOWNHOUSE-OCC,,1
05/10/2018,00:01:00,2A,4500 W NORTHERN PKWY,RAPE,O,OTHER,622.0,NORTHWEST,SETON BUSINESS PARK,-76.699673917314,39.345141495191,,BUS/AUTO,,1
05/10/2018,03:00:00,2A,4100 POTTER ST,RAPE,I,OTHER,833.0,SOUTHWEST,IRVINGTON,-76.683524633998,39.278193056129,,ROW/TOWNHOUSE-OCC,,1
05/09/2018,21:45:00,2A,5300 WALTHER AVE,RAPE,I,OTHER,426.0,NORTHEAST,WALTHERSON,-76.556652975665,39.345719660395005,,ROW/TOWNHOUSE-OCC,,1
05/08/2018,23:00:00,2B,100 W NORTH AVE,RAPE,I,OTHER,134.0,CENTRAL,CHARLES NORTH,-76.618112691709,39.311184800707004,,HOTEL/MOTEL,,1
05/07/2018,07:00:00,2A,1500 KINGSWAY RD,RAPE,I,OTHER,412.0,NORTHEAST,HILLEN,-76.590910939913,39.344428793821,,ROW/TOWNHOUSE-OCC,,1
05/07/2018,23:00:00,2A,3500 SHANNON DR,RAPE,O,OTHER,432.0,NORTHEAST,LOWER HERRING RUN PARK,-76.561958298735,39.322960475778,,STREET,Northeastern,1
05/04/2018,15:10:00,2B,100 MCMECHEN ST,RAPE,,OTHER,132.0,CENTRAL,BOLTON HILL,-76.624487785882,39.309458998825,,,,1
05/04/2018,01:57:00,2B,2800 GREENMOUNT AVE,RAPE,I,OTHER,513.0,NORTHERN,HARWOOD,-76.60951836340399,39.322210883047,,SCHOOL,,1
04/30/2018,00:01:00,2A,3800 W BELVEDERE AVE,RAPE,I,OTHER,633.0,NORTHWEST,ARLINGTON,-76.68150727090399,39.345296675152,,ROW/TOWNHOUSE-OCC,Northwestern,1
04/27/2018,12:00:00,2A,1200 SHERWOOD AVE,RAPE,I,OTHER,414.0,NORTHEAST,RAMBLEWOOD,-76.59190271588,39.365747398606,,SCHOOL,,1
04/27/2018,19:20:00,2A,700 GEORGE ST,RAPE,,OTHER,121.0,CENTRAL,HERITAGE CROSSING,-76.630181206653,39.295530405914,,,Central,1
04/26/2018,15:30:00,2A,0 WASHBURN AVE,RAPE,,OTHER,913.0,SOUTHERN,BROOKLYN,-76.611117445875,39.236732331978004,,,,1
04/26/2018,01:30:00,2A,1000 JACK PL,RAPE,,OTHER,913.0,SOUTHERN,BROOKLYN,-76.597708287171,39.230414574343,,,,1
04/24/2018,21:30:00,2A,1000 N WARWICK AVE,RAPE,,OTHER,723.0,WESTERN,BRIDGEVIEW/GREENLAWN,-76.656672835598,39.300101584389,,,,1
04/24/2018,19:00:00,2A,1400 GREENMOUNT AVE,RAPE,O,OTHER,313.0,EASTERN,GREENMOUNT WEST,-76.60852065034601,39.305903930693,,PARKING LOT-OUTSIDE,,1
