CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,vri_name1,Total Incidents
09/16/2016,21:05:00,1A,700 MELLO CT,HOMICIDE,Outside,FIREARM,323.0,EASTERN,GAY STREET,-76.598417017174,39.298266146945,,STREET,,1
09/16/2016,03:18:00,1A,3600 FAIRVIEW AV,HOMICIDE,Outside,FIREARM,623.0,NORTHWEST,FOREST PARK,-76.677942398976,39.3229255447,,STREET,,1
09/15/2016,13:32:00,1O,3100 REISTERSTOWN RD,HOMICIDE,Inside,OTHER,611.0,NORTHWEST,LIBERTY SQUARE,-76.656271203781,39.323346903524,,DWELLING,,1
09/15/2016,15:20:00,1O,1800 N CALVERT ST,HOMICIDE,Inside,OTHER,134.0,CENTRAL,GREENMOUNT WEST,-76.613774391089,39.310171007774,,DWELLING,,1
09/14/2016,20:45:00,1A,300 E LANVALE ST,HOMICIDE,Outside,FIREARM,313.0,EASTERN,GREENMOUNT WEST,-76.611669880787,39.309000304396,,ALLEY,,1
09/09/2016,02:04:00,1K,1800 E 29TH ST,HOMICIDE,Outside,KNIFE,411.0,NORTHEAST,COLDSTREAM HOMESTEAD,-76.590592115501,39.324691884499,,STREET,,1
09/08/2016,12:45:00,1A,4400 PLAINFIELD AV,HOMICIDE,Inside,FIREARM,443.0,NORTHEAST,FRANKFORD,-76.555831269114,39.326055339154,,DWELLING,,1
09/08/2016,02:01:00,1A,700 MURA ST,HOMICIDE,Outside,FIREARM,313.0,EASTERN,JOHNSTON SQUARE,-76.607983049334,39.304352370906,,STREET,,1
09/07/2016,20:45:00,1A,1900 CLIFTON AV,HOMICIDE,Outside,FIREARM,731.0,WESTERN,MONDAWMIN,-76.648728125139,39.311845981342,,STREET,Western,1
09/07/2016,01:00:00,1O,3200 BRENDAN AV,HOMICIDE,Inside,OTHER,432.0,NORTHEAST,BELAIR-EDISON,-76.569485853166,39.3221471842,,DWELLING,Northeastern,1
09/07/2016,13:29:00,1A,4600 YORK RD,HOMICIDE,Inside,FIREARM,521.0,NORTHERN,KERNEWOOD,-76.609649342503,39.344303284358,,COMMON BUSINESS,,1
09/07/2016,06:25:00,1O,0 GORMAN AV,HOMICIDE,Inside,OTHER,121.0,WESTERN,UNIVERSITY OF MARYLA,-76.653587524359,39.288443152414,,DWELLING,,1
09/07/2016,22:44:00,1A,2200 E OLIVER ST,HOMICIDE,Outside,FIREARM,331.0,EASTERN,BROADWAY EAST,-76.587143346445,39.307855424189,,STREET,,1
09/06/2016,13:13:00,1A,1100 N STRICKER ST,HOMICIDE,Outside,FIREARM,724.0,WESTERN,SANDTOWN-WINCHESTER,-76.641737831325,39.301155874884,,STREET,Central,1
09/05/2016,01:06:00,1A,2600 E MONUMENT ST,HOMICIDE,Outside,FIREARM,333.0,EASTERN,MADISON EASTEND,-76.580812050874,39.298981587467,,STREET,Eastern 2,1
09/04/2016,22:01:00,1A,2300 WILKENS AV,HOMICIDE,Outside,FIREARM,834.0,SOUTHWEST,CARROLLTON RIDGE,-76.65213462697,39.280355933567,,STREET,Tri-District,1
09/02/2016,23:04:00,1A,6100 SHIPVIEW WY,HOMICIDE,Outside,FIREARM,234.0,SOUTHEAST,ODONNELL HEIGHTS,-76.542818913594,39.276625860753995,,STREET,,1
09/02/2016,10:33:00,1O,3700 BANCROFT RD,HOMICIDE,Outside,OTHER,632.0,NORTHWEST,GLEN,-76.699304247197,39.358962094317,,,,1
08/27/2016,03:30:00,1O,0 S EXETER ST,HOMICIDE,Outside,OTHER,211.0,SOUTHEAST,JONESTOWN,-76.602766803284,39.289742356552,,DWELLING,,1
08/27/2016,02:30:00,1A,1300 CLIFTVIEW AV,HOMICIDE,Outside,FIREARM,312.0,EASTERN,EAST BALTIMORE MIDWA,-76.597053944294,39.31619057444,,STREET,Eastern 1,1
08/27/2016,19:32:00,1A,200 S AUGUSTA AV,HOMICIDE,Outside,FIREARM,824.0,SOUTHWEST,IRVINGTON,-76.684773385594,39.283407000000004,,STREET,,1
08/26/2016,15:40:00,1O,1100 EDWIGHT CT,HOMICIDE,Outside,OTHER,913.0,SOUTHERN,BROOKLYN,-76.596926264509,39.228564935592,,STREET,,1
08/24/2016,12:20:00,1A,4400 DAYTONA AV,HOMICIDE,Outside,FIREARM,613.0,NORTHWEST,TOWANDA-GRANTLEY,-76.671523392083,39.338289371499,,ALLEY,,1
08/24/2016,22:20:00,1A,600 HILLVIEW RD,HOMICIDE,Outside,FIREARM,922.0,SOUTHERN,CHERRY HILL,-76.622726312313,39.251395097471,,STREET,,1
08/23/2016,23:00:00,1K,2400 BRENTWOOD AV,HOMICIDE,Outside,KNIFE,311.0,EASTERN,BARCLAY,-76.610463629759,39.316306624415,,STREET,,1
08/22/2016,15:30:00,1A,2800 MAYFIELD AV,HOMICIDE,Outside,FIREARM,432.0,NORTHEAST,BELAIR-EDISON,-76.574642522493,39.323503540496,,STREET,,1
08/22/2016,21:14:00,1A,5300 SINCLAIR LA,HOMICIDE,Outside,FIREARM,443.0,NORTHEAST,FRANKFORD,-76.542851596809,39.323286032561995,,STREET,,1
08/20/2016,08:15:00,1A,200 BRIDGEVIEW RD,HOMICIDE,Outside,FIREARM,922.0,SOUTHERN,CHERRY HILL,-76.618064556066,39.251294598487,,STREET,,1
08/19/2016,04:21:00,1A,200 S CALHOUN ST,HOMICIDE,Outside,FIREARM,933.0,SOUTHERN,NEW SOUTHWEST/MOUNT CLARE,-76.639437020603,39.28545236463,,STREET,Tri-District,1
